Date,precipitation_sum,rain_sum,temperature_max,temperature_min,precipitation(nxt),rain_sum(nxt),temperature_max(nxt),temperature_min(nxt),precipitation(prev),rain_sum(prev),temperature_max(prev),temperature_min(prev),Holiday
2023-09-03,37.6,37.6,28.6,23.1,14.5,14.5,28.7,22.9,6.3,6.3,30.6,24,No
2023-09-04,14.5,14.5,28.7,22.9,33.5,33.5,27,23.3,37.6,37.6,28.6,23.1,No
2023-09-05,33.5,33.5,27,23.3,28.2,28.2,26,23.2,14.5,14.5,28.7,22.9,No
2023-09-06,28.2,28.2,26,23.2,32.6,32.6,26.5,22.4,33.5,33.5,27,23.3,No
2023-09-07,32.6,32.6,26.5,22.4,20,20,26.7,22.4,28.2,28.2,26,23.2,No
2023-09-08,20,20,26.7,22.4,19.4,19.4,28.5,22.9,32.6,32.6,26.5,22.4,No
2023-09-09,19.4,19.4,28.5,22.9,34.6,34.6,27,22.9,20,20,26.7,22.4,No
2023-09-10,34.6,34.6,27,22.9,27.3,27.3,29.1,22.8,19.4,19.4,28.5,22.9,No
2023-09-11,27.3,27.3,29.1,22.8,11.8,11.8,29.8,22.9,34.6,34.6,27,22.9,No
2023-09-12,11.8,11.8,29.8,22.9,16.9,16.9,28.4,23.2,27.3,27.3,29.1,22.8,No
2023-09-13,16.9,16.9,28.4,23.2,26.4,26.4,29.6,22.8,11.8,11.8,29.8,22.9,No
2023-09-14,26.4,26.4,29.6,22.8,75.1,75.1,26.4,23.5,16.9,16.9,28.4,23.2,No
2023-09-15,75.1,75.1,26.4,23.5,16.3,16.3,30,22.9,26.4,26.4,29.6,22.8,No
2023-09-16,16.3,16.3,30,22.9,25.8,25.8,28.7,23.4,75.1,75.1,26.4,23.5,No
2023-09-17,25.8,25.8,28.7,23.4,35.9,35.9,28,22.7,16.3,16.3,30,22.9,No
2023-09-18,35.9,35.9,28,22.7,20.3,20.3,29,22.5,25.8,25.8,28.7,23.4,No
2023-09-19,20.3,20.3,29,22.5,3.7,3.7,29,23.1,35.9,35.9,28,22.7,No
2023-09-20,3.7,3.7,29,23.1,13.8,13.8,29.9,23.4,20.3,20.3,29,22.5,No
2023-09-21,13.8,13.8,29.9,23.4,31.4,31.4,28.9,23.1,3.7,3.7,29,23.1,No
2023-09-22,31.4,31.4,28.9,23.1,32.2,32.2,29.5,22.6,13.8,13.8,29.9,23.4,No
2023-09-23,32.2,32.2,29.5,22.6,7.8,7.8,29.9,23.2,31.4,31.4,28.9,23.1,No
2023-09-24,7.8,7.8,29.9,23.2,20.5,20.5,28.7,22.9,32.2,32.2,29.5,22.6,No
2023-09-25,20.5,20.5,28.7,22.9,17.5,17.5,29.3,23.5,7.8,7.8,29.9,23.2,No
2023-09-26,17.5,17.5,29.3,23.5,4.9,4.9,29.6,23.3,20.5,20.5,28.7,22.9,No
2023-09-27,4.9,4.9,29.6,23.3,30.1,30.1,26.9,23.1,17.5,17.5,29.3,23.5,No
2023-09-28,30.1,30.1,26.9,23.1,26.4,26.4,25.6,22.9,4.9,4.9,29.6,23.3,No
2023-09-29,26.4,26.4,25.6,22.9,32.9,32.9,26.5,22.5,30.1,30.1,26.9,23.1,No
2023-09-30,32.9,32.9,26.5,22.5,14.4,14.4,30.1,24.6,26.4,26.4,25.6,22.9,No
2024-06-01,14.4,14.4,30.1,24.6,23.3,23.3,28.7,25.6,32.9,32.9,26.5,22.5,No
2024-06-02,23.3,23.3,28.7,25.6,19.2,19.2,29,24.2,14.4,14.4,30.1,24.6,No
2024-06-03,19.2,19.2,29,24.2,19.5,19.5,29.7,24.3,23.3,23.3,28.7,25.6,No
2024-06-04,19.5,19.5,29.7,24.3,28.1,28.1,29.2,24.4,19.2,19.2,29,24.2,No
2024-06-05,28.1,28.1,29.2,24.4,25.4,25.4,26.5,24.1,19.5,19.5,29.7,24.3,No
2024-06-06,25.4,25.4,26.5,24.1,16.8,16.8,28.2,24.4,28.1,28.1,29.2,24.4,No
2024-06-07,16.8,16.8,28.2,24.4,29.6,29.6,27,23.3,25.4,25.4,26.5,24.1,No
2024-06-08,29.6,29.6,27,23.3,9.8,9.8,29.1,23.3,16.8,16.8,28.2,24.4,No
2024-06-09,9.8,9.8,29.1,23.3,9.5,9.5,29.1,23.7,29.6,29.6,27,23.3,No
2024-06-10,9.5,9.5,29.1,23.7,15.6,15.6,29.2,24.1,9.8,9.8,29.1,23.3,No
2024-06-11,15.6,15.6,29.2,24.1,12.9,12.9,28,23.8,9.5,9.5,29.1,23.7,No
2024-06-12,12.9,12.9,28,23.8,7.2,7.2,29,23.9,15.6,15.6,29.2,24.1,No
2024-06-13,7.2,7.2,29,23.9,3.1,3.1,29.9,24.1,12.9,12.9,28,23.8,No
2024-06-14,3.1,3.1,29.9,24.1,1.3,1.3,30.4,23.8,7.2,7.2,29,23.9,No
2024-06-15,1.3,1.3,30.4,23.8,8.8,8.8,30,23.6,3.1,3.1,29.9,24.1,No
2024-06-16,8.8,8.8,30,23.6,4.5,4.5,28.2,24.7,1.3,1.3,30.4,23.8,No
2024-06-17,4.5,4.5,28.2,24.7,33.7,33.7,28.5,23.3,8.8,8.8,30,23.6,No
2024-06-18,33.7,33.7,28.5,23.3,27.5,27.5,27.9,23.3,4.5,4.5,28.2,24.7,No
2024-06-19,27.5,27.5,27.9,23.3,24,24,26.2,23.4,33.7,33.7,28.5,23.3,No
2024-06-20,24,24,26.2,23.4,39,39,25.6,23.5,27.5,27.5,27.9,23.3,No
2024-06-21,39,39,25.6,23.5,23.7,23.7,27.2,23.8,24,24,26.2,23.4,No
2024-06-22,23.7,23.7,27.2,23.8,45.7,45.7,28.3,23.8,39,39,25.6,23.5,No
2024-06-23,45.7,45.7,28.3,23.8,33.4,33.4,27.3,23.7,23.7,23.7,27.2,23.8,No
2024-06-24,33.4,33.4,27.3,23.7,56.5,56.5,26.7,23.2,45.7,45.7,28.3,23.8,No
2024-06-25,56.5,56.5,26.7,23.2,61.7,61.7,26.2,23.7,33.4,33.4,27.3,23.7,No
2024-06-26,61.7,61.7,26.2,23.7,36.7,36.7,26.1,23.5,56.5,56.5,26.7,23.2,No
2024-06-27,36.7,36.7,26.1,23.5,9,9,28.9,23,61.7,61.7,26.2,23.7,Yes
2024-06-28,9,9,28.9,23,4.5,4.5,29.3,23.9,36.7,36.7,26.1,23.5,No
2024-06-29,4.5,4.5,29.3,23.9,16.2,16.2,28.6,24.3,9,9,28.9,23,No
2024-06-30,16.2,16.2,28.6,24.3,33.6,33.6,27.6,23.8,4.5,4.5,29.3,23.9,No
2024-07-01,33.6,33.6,27.6,23.8,3.9,3.9,28.9,24.1,16.2,16.2,28.6,24.3,No
2024-07-02,3.9,3.9,28.9,24.1,8.1,8.1,30,23.6,33.6,33.6,27.6,23.8,No
2024-07-03,8.1,8.1,30,23.6,1.3,1.3,30.5,23.6,3.9,3.9,28.9,24.1,No
2024-07-04,1.3,1.3,30.5,23.6,15.5,15.5,29,24.1,8.1,8.1,30,23.6,No
2024-07-05,15.5,15.5,29,24.1,4.2,4.2,28.3,23.5,1.3,1.3,30.5,23.6,No
2024-07-06,4.2,4.2,28.3,23.5,8.4,8.4,29.7,24,15.5,15.5,29,24.1,No
2024-07-07,8.4,8.4,29.7,24,39.6,39.6,27.7,23.4,4.2,4.2,28.3,23.5,No
2024-07-08,39.6,39.6,27.7,23.4,7.6,7.6,28.2,23,8.4,8.4,29.7,24,No
2024-07-09,7.6,7.6,28.2,23,14.3,14.3,29.1,23.5,39.6,39.6,27.7,23.4,No
2024-07-10,14.3,14.3,29.1,23.5,0.6,0.6,30.1,23,7.6,7.6,28.2,23,No
2024-07-11,0.6,0.6,30.1,23,27.5,27.5,27.2,24,14.3,14.3,29.1,23.5,No
2024-07-12,27.5,27.5,27.2,24,50,50,26.9,23.5,0.6,0.6,30.1,23,No
2024-07-13,50,50,26.9,23.5,14.8,14.8,27.8,23,27.5,27.5,27.2,24,No
2024-07-14,14.8,14.8,27.8,23,48.4,48.4,25.9,23.1,50,50,26.9,23.5,No
2024-07-15,48.4,48.4,25.9,23.1,29.5,29.5,28.4,23.7,14.8,14.8,27.8,23,Yes
2024-07-16,29.5,29.5,28.4,23.7,57.4,57.4,27.2,23.5,48.4,48.4,25.9,23.1,No
2024-07-17,57.4,57.4,27.2,23.5,37.1,37.1,25,23.5,29.5,29.5,28.4,23.7,No
2024-07-18,37.1,37.1,25,23.5,15.6,15.6,26.4,23,57.4,57.4,27.2,23.5,No
2024-07-19,15.6,15.6,26.4,23,6.3,6.3,29.1,23.5,37.1,37.1,25,23.5,No
2024-07-20,6.3,6.3,29.1,23.5,3.6,3.6,30.3,23.8,15.6,15.6,26.4,23,No
2024-07-21,3.6,3.6,30.3,23.8,4.4,4.4,28.1,23.9,6.3,6.3,29.1,23.5,No
2024-07-22,4.4,4.4,28.1,23.9,4.4,4.4,29.5,23.9,3.6,3.6,30.3,23.8,No
2024-07-23,4.4,4.4,29.5,23.9,4.3,4.3,29.2,24,4.4,4.4,28.1,23.9,No
2024-07-24,4.3,4.3,29.2,24,31.3,31.3,27.4,23.6,4.4,4.4,29.5,23.9,No
2024-07-25,31.3,31.3,27.4,23.6,23,23,27.9,23.8,4.3,4.3,29.2,24,No
2024-07-26,23,23,27.9,23.8,8.6,8.6,29.4,22.9,31.3,31.3,27.4,23.6,No
2024-07-27,8.6,8.6,29.4,22.9,13.9,13.9,29.5,23.7,23,23,27.9,23.8,No
2024-07-28,13.9,13.9,29.5,23.7,47.2,47.2,26.8,23.3,8.6,8.6,29.4,22.9,No
2024-07-29,47.2,47.2,26.8,23.3,40.2,40.2,26.1,23.2,13.9,13.9,29.5,23.7,Yes
2024-07-30,40.2,40.2,26.1,23.2,41.1,41.1,26.8,22.9,47.2,47.2,26.8,23.3,Yes
2024-07-31,41.1,41.1,26.8,22.9,11.5,11.5,27.6,23.3,40.2,40.2,26.1,23.2,Yes
2024-08-01,11.5,11.5,27.6,23.3,3.1,3.1,28.8,23.1,41.1,41.1,26.8,22.9,Yes
2024-08-02,3.1,3.1,28.8,23.1,7.2,7.2,28.8,22.7,11.5,11.5,27.6,23.3,Yes
2024-08-03,7.2,7.2,28.8,22.7,6.5,6.5,30.1,23.5,3.1,3.1,28.8,23.1,No
2024-08-04,6.5,6.5,30.1,23.5,23.5,23.5,29.6,23.5,7.2,7.2,28.8,22.7,No
2024-08-05,23.5,23.5,29.6,23.5,24.4,24.4,29.3,23.3,6.5,6.5,30.1,23.5,No
2024-08-06,24.4,24.4,29.3,23.3,7.7,7.7,29,24,23.5,23.5,29.6,23.5,No
2024-08-07,7.7,7.7,29,24,23,23,28,23.6,24.4,24.4,29.3,23.3,No
2024-08-08,23,23,28,23.6,1.3,1.3,29.4,23.3,7.7,7.7,29,24,No
2024-08-09,1.3,1.3,29.4,23.3,25.9,25.9,28.7,23.8,23,23,28,23.6,No
2024-08-10,25.9,25.9,28.7,23.8,4.4,4.4,30.2,24.1,1.3,1.3,29.4,23.3,No
2024-08-11,4.4,4.4,30.2,24.1,20.6,20.6,30.8,24.1,25.9,25.9,28.7,23.8,No
2024-08-12,20.6,20.6,30.8,24.1,27,27,31.7,23.6,4.4,4.4,30.2,24.1,No
2024-08-13,27,27,31.7,23.6,9.3,9.3,30.1,23.6,20.6,20.6,30.8,24.1,No
2024-08-14,9.3,9.3,30.1,23.6,2.2,2.2,30,24.2,27,27,31.7,23.6,No
2024-08-15,2.2,2.2,30,24.2,20.5,20.5,29.6,23.9,9.3,9.3,30.1,23.6,No
2024-08-16,20.5,20.5,29.6,23.9,12.5,12.5,29.2,24.2,2.2,2.2,30,24.2,No
2024-08-17,12.5,12.5,29.2,24.2,0.6,0.6,29.4,23.8,20.5,20.5,29.6,23.9,No
2024-08-18,0.6,0.6,29.4,23.8,5.1,5.1,30.1,24,12.5,12.5,29.2,24.2,No
2024-08-19,5.1,5.1,30.1,24,19.5,19.5,29.7,23.7,0.6,0.6,29.4,23.8,No
2024-08-20,19.5,19.5,29.7,23.7,17,17,29.6,23.5,5.1,5.1,30.1,24,No
2024-08-21,17,17,29.6,23.5,3.2,3.2,29,23.5,19.5,19.5,29.7,23.7,No
2024-08-22,3.2,3.2,29,23.5,1.4,1.4,29.5,23.7,17,17,29.6,23.5,No
2024-08-23,1.4,1.4,29.5,23.7,7.4,7.4,27.6,23.8,3.2,3.2,29,23.5,No
2024-08-24,7.4,7.4,27.6,23.8,2.2,2.2,28.5,23.8,1.4,1.4,29.5,23.7,No
2024-08-25,2.2,2.2,28.5,23.8,6.3,6.3,28.8,23.4,7.4,7.4,27.6,23.8,No
2024-08-26,6.3,6.3,28.8,23.4,10.3,10.3,27.8,23.4,2.2,2.2,28.5,23.8,No
2024-08-27,10.3,10.3,27.8,23.4,7,7,27.8,22.9,6.3,6.3,28.8,23.4,No
2024-08-28,7,7,27.8,22.9,11.5,11.5,27.5,23.2,10.3,10.3,27.8,23.4,No
2024-08-29,11.5,11.5,27.5,23.2,20.8,20.8,28.1,22.9,7,7,27.8,22.9,No
2024-08-30,20.8,20.8,28.1,22.9,7,7,28.1,23.5,11.5,11.5,27.5,23.2,No
2024-08-31,7,7,28.1,23.5,12.4,12.4,27,23.6,20.8,20.8,28.1,22.9,No
2024-09-01,12.4,12.4,27,23.6,10.2,10.2,29.3,23.3,7,7,28.1,23.5,No
2024-09-02,10.2,10.2,29.3,23.3,19.3,19.3,27.7,22.9,12.4,12.4,27,23.6,No
2024-09-03,19.3,19.3,27.7,22.9,5.2,5.2,28.2,23.7,10.2,10.2,29.3,23.3,No
2024-09-04,5.2,5.2,28.2,23.7,2.4,2.4,29.6,24,19.3,19.3,27.7,22.9,No
2024-09-05,2.4,2.4,29.6,24,2.4,2.4,29.6,23.9,5.2,5.2,28.2,23.7,No
2024-09-06,2.4,2.4,29.6,23.9,3.1,3.1,29.7,23.9,2.4,2.4,29.6,24,No
2024-09-07,3.1,3.1,29.7,23.9,14.3,14.3,27.5,23.7,2.4,2.4,29.6,23.9,No
2024-09-08,14.3,14.3,27.5,23.7,18.3,18.3,27.5,23.6,3.1,3.1,29.7,23.9,No
2024-09-09,18.3,18.3,27.5,23.6,19.9,19.9,27.7,23.3,14.3,14.3,27.5,23.7,No
2024-09-10,19.9,19.9,27.7,23.3,18.2,18.2,28.4,23.3,18.3,18.3,27.5,23.6,No
2024-09-11,18.2,18.2,28.4,23.3,1.3,1.3,29,23.1,19.9,19.9,27.7,23.3,No
2024-09-12,1.3,1.3,29,23.1,0.8,0.8,30,23.5,18.2,18.2,28.4,23.3,No
2024-09-13,0.8,0.8,30,23.5,9.2,9.2,29.1,23.6,1.3,1.3,29,23.1,No
2024-09-14,9.2,9.2,29.1,23.6,4.3,4.3,30.1,24,0.8,0.8,30,23.5,No
2024-09-15,4.3,4.3,30.1,24,0.8,0.8,29.8,23.9,9.2,9.2,29.1,23.6,No
2024-09-16,0.8,0.8,29.8,23.9,0.6,0.6,29.9,23.7,4.3,4.3,30.1,24,No
2024-09-17,0.6,0.6,29.9,23.7,2.8,2.8,29.9,23.7,0.8,0.8,29.8,23.9,No
2024-09-18,2.8,2.8,29.9,23.7,0.5,0.5,29.9,22.7,0.6,0.6,29.9,23.7,No
2024-09-19,0.5,0.5,29.9,22.7,1.1,1.1,29.5,22.7,2.8,2.8,29.9,23.7,No
2024-09-20,1.1,1.1,29.5,22.7,1.5,1.5,29.1,23,0.5,0.5,29.9,22.7,No
2024-09-21,1.5,1.5,29.1,23,2.3,2.3,29.3,22.8,1.1,1.1,29.5,22.7,No
2024-09-22,2.3,2.3,29.3,22.8,32.1,32.1,28.3,23.8,1.5,1.5,29.1,23,No
2024-09-23,32.1,32.1,28.3,23.8,2.1,2.1,30.2,23.3,2.3,2.3,29.3,22.8,No
2024-09-24,2.1,2.1,30.2,23.3,3.3,3.3,29.3,23.3,32.1,32.1,28.3,23.8,No
2024-09-25,3.3,3.3,29.3,23.3,3,3,29.5,23.3,2.1,2.1,30.2,23.3,No
2024-09-26,3,3,29.5,23.3,2.7,2.7,29.3,23.3,3.3,3.3,29.3,23.3,No
2024-09-27,2.7,2.7,29.3,23.3,0.7,0.7,30.4,23.6,3,3,29.5,23.3,No
2024-09-28,0.7,0.7,30.4,23.6,11.7,11.7,32.6,23.7,2.7,2.7,29.3,23.3,No
2024-09-29,11.7,11.7,32.6,23.7,0.5,0.5,33.9,23.1,0.7,0.7,30.4,23.6,No
2024-09-30,0.5,0.5,33.9,23.1,6.7,6.7,31.1,23.7,11.7,11.7,32.6,23.7,No
2025-06-01,6.7,6.7,31.1,23.7,6,6,30.5,23.4,0.5,0.5,33.9,23.1,No
2025-06-02,6,6,30.5,23.4,9.9,9.9,30.1,23.3,6.7,6.7,31.1,23.7,No
2025-06-03,9.9,9.9,30.1,23.3,25.8,25.8,28.5,23.1,6,6,30.5,23.4,No
2025-06-04,25.8,25.8,28.5,23.1,0.5,0.5,31.5,23.4,9.9,9.9,30.1,23.3,No
2025-06-05,0.5,0.5,31.5,23.4,5.8,5.8,31.4,22.9,25.8,25.8,28.5,23.1,No
2025-06-06,5.8,5.8,31.4,22.9,3.1,3.1,30.4,23.6,0.5,0.5,31.5,23.4,No
2025-06-07,3.1,3.1,30.4,23.6,10.3,10.3,30.7,23.4,5.8,5.8,31.4,22.9,No
2025-06-08,10.3,10.3,30.7,23.4,5.7,5.7,30.3,22.9,3.1,3.1,30.4,23.6,No
2025-06-09,5.7,5.7,30.3,22.9,43.6,43.6,30,24.1,10.3,10.3,30.7,23.4,No
2025-06-10,43.6,43.6,30,24.1,39.9,39.9,29.3,22.7,5.7,5.7,30.3,22.9,No
2025-06-11,39.9,39.9,29.3,22.7,32.7,32.7,27.3,23,43.6,43.6,30,24.1,No
2025-06-12,32.7,32.7,27.3,23,31.1,31.1,27.1,23.8,39.9,39.9,29.3,22.7,No
2025-06-13,31.1,31.1,27.1,23.8,56.1,56.1,25.2,23.7,32.7,32.7,27.3,23,No
2025-06-14,56.1,56.1,25.2,23.7,65.4,65.4,26.6,23.3,31.1,31.1,27.1,23.8,No
2025-06-15,65.4,65.4,26.6,23.3,39.4,39.4,25.2,23.2,56.1,56.1,25.2,23.7,Yes
2025-06-16,39.4,39.4,25.2,23.2,46.4,46.4,27.7,22.9,65.4,65.4,26.6,23.3,No
2025-06-17,46.4,46.4,27.7,22.9,13.4,13.4,28.8,22.9,39.4,39.4,25.2,23.2,Yes
2025-06-18,13.4,13.4,28.8,22.9,6.6,6.6,29.1,23.5,46.4,46.4,27.7,22.9,No
2025-06-19,6.6,6.6,29.1,23.5,5.3,5.3,29.6,23.2,13.4,13.4,28.8,22.9,No
2025-06-20,5.3,5.3,29.6,23.2,4,4,29.5,23.5,6.6,6.6,29.1,23.5,No
2025-06-21,4,4,29.5,23.5,17.8,17.8,27.6,22.9,5.3,5.3,29.6,23.2,No
2025-06-22,17.8,17.8,27.6,22.9,2.9,2.9,28.9,22.5,4,4,29.5,23.5,No
2025-06-23,2.9,2.9,28.9,22.5,12.6,12.6,28.5,22.9,17.8,17.8,27.6,22.9,No
2025-06-24,12.6,12.6,28.5,22.9,25.3,25.3,27.3,22.7,2.9,2.9,28.9,22.5,Yes
2025-06-25,25.3,25.3,27.3,22.7,20.5,20.5,27.3,22.9,12.6,12.6,28.5,22.9,No
2025-06-26,20.5,20.5,27.3,22.9,14.2,14.2,28.7,22.5,25.3,25.3,27.3,22.7,Yes
2025-06-27,14.2,14.2,28.7,22.5,16.2,16.2,28.1,23.1,20.5,20.5,27.3,22.9,Yes
2025-06-28,16.2,16.2,28.1,23.1,5.1,5.1,30.2,22.5,14.2,14.2,28.7,22.5,No
2025-06-29,5.1,5.1,30.2,22.5,2.7,2.7,29.8,22.8,16.2,16.2,28.1,23.1,No
2025-06-30,2.7,2.7,29.8,22.8,4.3,4.3,28.1,22.8,5.1,5.1,30.2,22.5,No
2025-07-01,4.3,4.3,28.1,22.8,20.8,20.8,28.4,22.7,2.7,2.7,29.8,22.8,No
2025-07-02,20.8,20.8,28.4,22.7,6.4,6.4,28.6,22.8,4.3,4.3,28.1,22.8,No
2025-07-03,6.4,6.4,28.6,22.8,4.9,4.9,30.5,22.7,20.8,20.8,28.4,22.7,No
2025-07-04,4.9,4.9,30.5,22.7,8.3,8.3,30.2,23,6.4,6.4,28.6,22.8,No
2025-07-05,8.3,8.3,30.2,23,5,5,29.5,23.2,4.9,4.9,30.5,22.7,No
2025-07-06,5,5,29.5,23.2,5.6,5.6,29.3,22.8,8.3,8.3,30.2,23,No
2025-07-07,5.6,5.6,29.3,22.8,6,6,29.4,22.6,5,5,29.5,23.2,No
2025-07-08,6,6,29.4,22.6,3.1,3.1,29.9,23.2,5.6,5.6,29.3,22.8,No
2025-07-09,3.1,3.1,29.9,23.2,4.2,4.2,30.2,22.9,6,6,29.4,22.6,No
2025-07-10,4.2,4.2,30.2,22.9,8.6,8.6,29.6,23.6,3.1,3.1,29.9,23.2,No
2025-07-11,8.6,8.6,29.6,23.6,15.2,15.2,29.4,22.5,4.2,4.2,30.2,22.9,No
2025-07-12,15.2,15.2,29.4,22.5,29.2,29.2,28,23.1,8.6,8.6,29.6,23.6,No
2025-07-13,29.2,29.2,28,23.1,14.3,14.3,28,23.2,15.2,15.2,29.4,22.5,No
2025-07-14,14.3,14.3,28,23.2,17.7,17.7,28.2,22.8,29.2,29.2,28,23.1,No
2025-07-15,17.7,17.7,28.2,22.8,37.1,37.1,25.9,23,14.3,14.3,28,23.2,No
2025-07-16,37.1,37.1,25.9,23,26.8,26.8,27.7,22.5,17.7,17.7,28.2,22.8,Yes
2025-07-17,26.8,26.8,27.7,22.5,20.8,20.8,25.7,22.8,37.1,37.1,25.9,23,No
2025-07-18,20.8,20.8,25.7,22.8,41.9,41.9,24.9,23,26.8,26.8,27.7,22.5,No
2025-07-19,41.9,41.9,24.9,23,40.5,40.5,25.7,22.8,20.8,20.8,25.7,22.8,Yes
2025-07-20,40.5,40.5,25.7,22.8,15.1,15.1,27.3,23,41.9,41.9,24.9,23,No
2025-07-21,15.1,15.1,27.3,23,12,12,25,23,40.5,40.5,25.7,22.8,No
2025-07-22,12,12,25,23,19.2,19.2,26.3,22.4,15.1,15.1,27.3,23,No
2025-07-23,19.2,19.2,26.3,22.4,19.8,19.8,26.7,22.8,12,12,25,23,No
2025-07-24,19.8,19.8,26.7,22.8,17.5,17.5,28.8,22.9,19.2,19.2,26.3,22.4,No
2025-07-25,17.5,17.5,28.8,22.9,26.1,26.1,26.9,22.3,19.8,19.8,26.7,22.8,No
2025-07-26,26.1,26.1,26.9,22.3,11.4,11.4,27.1,22.8,17.5,17.5,28.8,22.9,Yes
2025-07-27,11.4,11.4,27.1,22.8,1.4,1.4,29.9,22.5,26.1,26.1,26.9,22.3,No
2025-07-28,1.4,1.4,29.9,22.5,0.8,0.8,30.3,23.4,11.4,11.4,27.1,22.8,No
2025-07-29,0.8,0.8,30.3,23.4,3.6,3.6,29.8,23.6,1.4,1.4,29.9,22.5,No
2025-07-30,3.6,3.6,29.8,23.6,3,3,28.4,22.9,0.8,0.8,30.3,23.4,No
2025-07-31,3,3,28.4,22.9,2.4,2.4,29.2,23.8,3.6,3.6,29.8,23.6,No
2025-08-01,2.4,2.4,29.2,23.8,23,23,28,23.7,3,3,28.4,22.9,No
2025-08-02,23,23,28,23.7,37.4,37.4,28,22.7,2.4,2.4,29.2,23.8,No
2025-08-03,37.4,37.4,28,22.7,6.5,6.5,29.1,22.7,23,23,28,23.7,No
2025-08-04,6.5,6.5,29.1,22.7,36.6,36.6,27.8,22.4,37.4,37.4,28,22.7,No
2025-08-05,36.6,36.6,27.8,22.4,0.4,0.4,29.3,22.5,6.5,6.5,29.1,22.7,Yes
2025-08-06,0.4,0.4,29.3,22.5,3.6,3.6,29.2,23.1,36.6,36.6,27.8,22.4,Yes
